Player,Credits,Player Type,Player Name,Team,Matches Played,Runs,Balls Faced,Fours,Sixes,Dot Balls,25+ Scores,50+ Scores,75+ Scores,100+ Scores,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Batting Average,Strike Rate,Wickets,LBW/Bowled Wickets,Runs Conceded,Balls Bowled,Dot Balls Bowled,3+ Wickets,4+ Wickets,5+ Wickets,economy,Balls Bowled in Powerplay,Balls Bowled in Death Overs,Bowling Average,Bowling Strike Rate,Catches,Stumpings,Run-Outs,Catches per Match,Stumpings per Match,Run-Outs per Match,25+ runs per Match,50+ runs per Match,75+ runs per Match,100+ runs per Match,3+ wickets per Match,4+ wickets per Match,5+ wickets per Match,Chennai,Delhi,Mumbai,Kolkata,Bengaluru,Hyderabad,Ahmedabad,Jaipur,Mohali,Lucknow,Dharamsala,Guwahati,Indore,Visakhapatnam,Chennai_matches,Delhi_matches,Mumbai_matches,Kolkata_matches,Bengaluru_matches,Hyderabad_matches,Ahmedabad_matches,Jaipur_matches,Mohali_matches,Lucknow_matches,Dharamsala_matches,Guwahati_matches,Indore_matches,Visakhapatnam_matches,Chennai_avg_fantasy,Delhi_avg_fantasy,Mumbai_avg_fantasy,Kolkata_avg_fantasy,Bengaluru_avg_fantasy,Hyderabad_avg_fantasy,Ahmedabad_avg_fantasy,Jaipur_avg_fantasy,Mohali_avg_fantasy,Lucknow_avg_fantasy,Dharamsala_avg_fantasy,Guwahati_avg_fantasy,Indore_avg_fantasy,Visakhapatnam_avg_fantasy,Total fantasy points,Fantasy points per match,Total current fantasy points,Current Fantasy points per match
RG Sharma,9.0,BAT,Rohit Sharma,MI,63,1480,1149,147,73,531,22,4,0,1,960,301,32,23.49,128.81,0,0,13,7,0,0,0,0,11.14,0,0,0.0,0.0,12,0,2,0.19,0.0,0.032,0.349,0.063,0.0,0.016,0.0,0.0,0.0,4.0,60.0,667.0,33.0,0.0,56.0,113.0,14.0,70.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,30.0,66.7,33.0,43.5,56.0,56.5,14.0,70.0,12.0,53.0,41.0,0.0,47.5,1029.0,51.45,170.0,28.33
Mohammed Siraj,8.0,BOWL,Mohammed Siraj,GT,67,63,70,6,3,43,0,0,0,0,0,4,59,0.94,90.0,69,26,2075,1547,632,5,2,0,8.05,651,398,30.07,22.42,17,0,2,0.254,0.0,0.03,0.0,0.0,0.0,0.0,0.075,0.03,0.0,4.0,0.0,4.0,34.0,388.0,168.0,240.0,34.0,0.0,4.0,106.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,45.665,4.0,34.0,55.43,84.0,48.0,34.0,45.0,4.0,106.0,41.0,0.0,47.5,1193.0,59.65,470.0,78.33
KA Jamieson,,,,,9,65,55,5,3,25,0,0,0,0,0,20,45,7.22,118.18,9,1,271,179,69,1,0,0,9.08,103,28,30.11,19.89,2,0,0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA Lynn,,,,,38,1214,856,118,51,319,13,5,3,0,580,487,80,31.95,141.82,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,8,0,0,0.211,0.0,0.0,0.342,0.132,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,1022.0,73.0,,
YS Chahal,8.5,BOWL,Yuzvendra Chahal,PBKS,74,19,44,0,0,27,0,0,0,0,0,1,18,0.26,43.18,96,26,2264,1703,524,6,6,1,7.98,250,226,23.58,17.74,12,0,2,0.162,0.0,0.027,0.0,0.0,0.0,0.0,0.081,0.081,0.014,70.0,34.0,98.0,42.0,0.0,38.0,38.0,492.0,190.0,46.0,0.0,72.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,35.0,34.0,98.0,42.0,43.5,19.0,19.0,61.5,47.5,23.0,53.0,72.0,0.0,47.5,1288.0,53.67,266.0,44.33
SA Yadav,9.0,BAT,Suryakumar Yadav,MI,59,1893,1217,196,87,430,18,11,3,2,409,1264,216,32.08,155.55,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,23,0,0,0.39,0.0,0.0,0.305,0.186,0.051,0.034,0.0,0.0,0.0,51.0,146.0,623.0,27.0,144.0,0.0,84.0,22.0,140.0,141.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,51.0,73.0,69.22,27.0,48.0,42.0,84.0,22.0,140.0,70.5,53.0,41.0,0.0,47.5,1378.0,65.62,513.0,73.29
Shahbaz Ahmed,7.0,ALL,Shahbaz Ahmed,LSG,60,665,567,35,33,217,7,2,0,0,37,370,257,11.08,117.28,28,6,1037,726,214,2,0,0,8.57,219,29,37.04,25.93,20,0,2,0.333,0.0,0.033,0.117,0.033,0.0,0.0,0.033,0.0,0.0,209.0,117.0,14.0,42.0,162.0,165.0,70.0,0.0,28.0,0.0,0.0,0.0,0.0,17.0,3.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.67,117.0,14.0,42.0,54.0,27.5,35.0,29.55,28.0,42.0,53.0,41.0,0.0,17.0,944.0,47.2,18.0,18.0
HV Patel,8.0,BOWL,Harshal Patel,SRH,70,289,254,29,11,122,3,0,0,0,104,55,103,4.13,113.78,105,20,2222,1572,462,11,3,1,8.48,182,582,21.16,14.97,17,0,6,0.243,0.0,0.086,0.043,0.0,0.0,0.0,0.157,0.043,0.014,18.0,0.0,34.0,87.0,34.0,330.0,34.0,177.0,395.0,10.0,258.0,72.0,0.0,9.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,18.0,45.665,34.0,43.5,34.0,82.5,34.0,59.0,79.0,10.0,129.0,72.0,0.0,9.0,1623.0,70.57,384.0,64.0
DT Christian,,,,,41,390,349,30,14,155,3,1,0,0,21,198,171,9.51,111.75,16,5,496,377,105,1,0,0,7.89,67,53,31.0,23.56,25,0,1,0.61,0.0,0.024,0.073,0.024,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,83.0,41.5,,
AB de Villiers,,,,,15,313,215,23,16,72,2,0,2,0,11,135,167,20.87,145.58,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,1.0,0.0,0.0,0.133,0.0,0.133,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishan Kishan,8.0,WK,Ishan Kishan,SRH,61,1571,1172,169,61,473,17,6,3,1,918,463,87,25.75,134.04,0,0,4,1,0,0,0,0,24.0,0,1,0.0,0.0,37,3,10,0.607,0.049,0.164,0.279,0.098,0.049,0.016,0.0,0.0,0.0,0.0,48.0,426.0,94.0,0.0,338.0,4.0,4.0,38.0,58.0,0.0,0.0,0.0,6.0,1.0,1.0,8.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,48.0,53.25,47.0,43.5,67.6,4.0,4.0,38.0,58.0,53.0,41.0,0.0,6.0,1016.0,48.38,290.0,41.43
Washington Sundar,7.0,ALL,Washington Sundar,GT,29,271,253,25,5,100,4,0,0,0,70,71,128,9.34,107.11,14,2,679,489,145,1,0,0,8.33,164,34,48.5,34.93,5,0,1,0.172,0.0,0.034,0.138,0.0,0.0,0.0,0.034,0.0,0.0,0.0,34.0,0.0,0.0,0.0,89.0,4.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,34.0,34.0,40.0,43.5,89.0,4.0,29.55,45.0,52.0,53.0,41.0,0.0,47.5,267.0,38.14,150.0,75.0
HH Pandya,9.0,ALL,Hardik Pandya,MI,63,1295,994,114,49,357,16,5,1,0,206,752,337,20.56,130.28,37,3,1098,753,261,3,0,1,8.75,267,76,29.68,20.35,22,0,4,0.349,0.0,0.063,0.254,0.079,0.016,0.0,0.048,0.0,0.016,0.0,94.0,740.0,6.0,179.0,68.0,126.0,18.0,50.0,276.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,37.0,47.0,74.0,6.0,89.5,68.0,63.0,18.0,50.0,138.0,53.0,41.0,0.0,47.5,1699.0,77.23,600.0,100.0
KA Pollard,,,,,35,576,434,35,39,188,7,0,1,0,11,224,341,16.46,132.72,13,1,332,245,60,0,0,0,8.13,24,22,25.54,18.85,18,0,1,0.514,0.0,0.029,0.2,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,558.0,55.8,,
KH Pandya,7.5,ALL,Krunal Pandya,RCB,77,1050,898,92,26,347,12,3,0,0,127,630,293,13.64,116.93,49,13,1636,1349,426,4,2,0,7.28,458,83,33.39,27.53,27,0,1,0.351,0.0,0.013,0.156,0.039,0.0,0.0,0.052,0.026,0.0,16.0,30.0,204.0,125.0,112.0,40.0,0.0,275.0,0.0,295.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,8.0,30.0,102.0,62.5,22.4,40.0,40.0,68.75,45.0,42.14,53.0,41.0,0.0,47.5,1374.0,52.85,372.0,62.0
M Jansen,8.0,ALL,Marco Jansen,PBKS,61,595,464,39,33,189,3,3,0,0,1,301,293,9.75,128.23,73,11,1887,1379,544,4,2,1,8.21,736,205,25.85,18.89,32,0,1,0.525,0.0,0.016,0.049,0.049,0.0,0.0,0.066,0.033,0.016,0.0,0.0,69.0,21.0,0.0,37.0,42.0,0.0,222.0,42.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,69.0,21.0,43.5,18.5,42.0,29.55,74.0,42.0,53.0,41.0,0.0,47.5,3427.0,79.7,362.0,60.33
JJ Bumrah,9.0,BOWL,Jasprit Bumrah,MI,44,28,39,3,0,21,0,0,0,0,0,0,28,0.64,71.79,58,18,1249,1075,434,7,0,2,6.97,416,365,21.53,18.53,5,0,0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.045,0.0,68.0,469.0,72.0,0.0,4.0,107.0,6.0,106.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,34.0,58.62,72.0,43.5,4.0,107.0,6.0,106.0,12.0,53.0,41.0,0.0,47.5,1035.0,64.69,111.0,37.0
TA Boult,8.5,BOWL,Trent Boult,MI,80,108,105,5,6,49,0,0,0,0,0,24,84,1.35,102.86,83,27,2414,1844,760,4,0,0,7.85,729,322,29.08,22.22,16,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,107.0,48.0,263.0,42.0,0.0,4.0,76.0,148.0,34.0,92.0,0.0,54.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,35.67,24.0,65.75,42.0,43.5,4.0,38.0,29.6,34.0,46.0,53.0,54.0,0.0,47.5,1570.0,49.06,285.0,40.71
V Kohli,9.0,BAT,Virat Kohli,RCB,66,2374,1800,222,81,624,17,15,4,3,1027,923,135,35.97,131.89,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,40,0,3,0.606,0.0,0.045,0.258,0.227,0.061,0.045,0.0,0.0,0.0,84.0,0.0,146.0,151.0,747.0,85.0,189.0,323.0,0.0,0.0,178.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,45.665,73.0,75.5,83.0,85.0,94.5,161.5,45.0,42.0,178.0,41.0,0.0,47.5,1903.0,90.62,456.0,76.0
RM Patidar,8.0,BAT,Rajat Patidar,RCB,43,1432,939,103,91,323,10,13,2,1,336,955,137,33.3,152.5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,17,0,0,0.395,0.0,0.0,0.233,0.302,0.047,0.023,0.0,0.0,0.0,117.0,0.0,218.0,182.0,744.0,100.0,62.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.5,45.665,109.0,91.0,62.0,100.0,62.0,29.55,45.0,42.0,115.0,41.0,0.0,47.5,1653.0,68.88,360.0,72.0
GJ Maxwell,8.5,ALL,Glenn Maxwell,PBKS,89,2343,1509,214,122,545,20,11,5,2,608,1286,435,26.33,155.27,34,8,1040,796,250,1,0,0,7.84,303,15,30.59,23.41,51,0,3,0.573,0.0,0.034,0.225,0.124,0.056,0.022,0.011,0.0,0.0,12.0,0.0,4.0,0.0,269.0,15.0,72.0,13.0,160.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,12.0,45.665,4.0,40.0,53.8,15.0,24.0,13.0,53.33,50.0,53.0,41.0,0.0,47.5,2297.0,67.56,286.0,47.67
RD Chahar,6.5,BOWL,Rahul Chahar,SRH,50,120,114,11,6,63,1,0,0,0,0,25,95,2.4,105.26,45,8,1419,1089,346,3,1,0,7.82,151,67,31.53,24.2,13,0,0,0.26,0.0,0.0,0.02,0.0,0.0,0.0,0.06,0.02,0.0,80.0,0.0,4.0,34.0,4.0,4.0,0.0,0.0,42.0,42.0,141.0,72.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,80.0,45.665,4.0,34.0,4.0,4.0,40.0,29.55,42.0,42.0,70.5,72.0,0.0,47.5,492.0,49.2,6.0,6.0
RD Gaikwad,9.0,BAT,Ruturaj Gaikwad,CHE,70,2557,1868,247,96,668,20,12,8,2,1235,978,157,36.53,136.88,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,35,0,0,0.5,0.0,0.0,0.286,0.171,0.114,0.029,0.0,0.0,0.0,936.0,0.0,131.0,0.0,4.0,52.0,4.0,0.0,5.0,25.0,62.0,117.0,0.0,13.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.6,45.665,131.0,40.0,4.0,52.0,4.0,29.55,5.0,25.0,62.0,117.0,0.0,13.0,1349.0,71.0,262.0,52.4
CR Woakes,,,,,7,25,20,3,0,4,0,0,0,0,0,6,19,3.57,125.0,10,3,220,153,57,0,0,0,8.63,68,37,22.0,15.3,2,0,0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,43.5,42.0,40.0,29.55,45.0,42.0,53.0,41.0,0.0,47.5,239.0,59.75,,
F du Plessis,8.5,BAT,Faf du Plessis,DC,102,3407,2412,328,144,886,25,21,9,1,1888,1162,209,33.4,141.25,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,51,0,3,0.5,0.0,0.029,0.245,0.206,0.088,0.01,0.0,0.0,0.0,75.0,0.0,107.0,23.0,476.0,51.0,93.0,72.0,0.0,0.0,29.0,0.0,0.0,177.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,75.0,45.665,107.0,23.0,59.5,51.0,46.5,72.0,45.0,42.0,29.0,41.0,0.0,88.5,2947.0,60.14,183.0,61.0
Avesh Khan,8.0,BOWL,Avesh Khan,LSG,70,50,32,2,4,12,0,0,0,0,0,13,37,0.71,156.25,90,22,2219,1576,561,12,1,0,8.45,577,561,24.66,17.51,9,0,4,0.129,0.0,0.057,0.0,0.0,0.0,0.0,0.171,0.014,0.0,154.0,15.0,34.0,98.0,118.0,106.0,98.0,132.0,64.0,150.0,0.0,75.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,77.0,15.0,34.0,49.0,39.33,53.0,98.0,26.4,64.0,30.0,53.0,75.0,0.0,47.5,1331.0,49.3,224.0,37.33
MM Ali,7.0,ALL,Moeen Ali,KKR,66,1042,834,85,55,367,14,2,1,0,298,516,228,15.79,124.94,36,16,964,803,265,2,1,0,7.2,132,20,26.78,22.31,20,0,3,0.303,0.0,0.045,0.212,0.03,0.015,0.0,0.03,0.015,0.0,117.0,0.0,0.0,12.0,0.0,80.0,108.0,0.0,0.0,56.0,29.0,77.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.4,45.665,34.0,12.0,43.5,80.0,108.0,29.55,45.0,56.0,29.0,77.0,0.0,47.5,1247.0,46.19,155.0,51.67
S Dhawan,,,,,47,1609,1303,184,44,536,16,5,5,0,768,630,109,34.23,123.48,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,26,0,0,0.553,0.0,0.0,0.34,0.106,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,13.0,0.0,76.0,136.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,37.0,45.665,34.0,40.0,79.0,42.0,13.0,29.55,38.0,136.0,53.0,41.0,0.0,47.5,304.0,60.8,,
SK Raina,,,,,11,160,133,13,9,63,0,1,0,0,20,109,31,14.55,120.3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,7,0,0,0.636,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Ashwin,8.0,ALL,Ravichandran Ashwin,CHE,63,400,329,27,17,118,5,1,0,0,51,206,143,6.35,121.58,48,9,1878,1475,418,2,0,0,7.64,454,74,39.12,30.73,15,0,0,0.238,0.0,0.0,0.079,0.016,0.0,0.0,0.032,0.0,0.0,177.0,108.0,32.0,24.0,0.0,6.0,64.0,101.0,64.0,34.0,0.0,104.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,29.5,108.0,32.0,24.0,43.5,6.0,64.0,20.2,64.0,34.0,53.0,52.0,0.0,47.5,845.0,42.25,246.0,41.0
